Kelompok Pengeluaran,Komoditas Makanan,Pengeluaran per minggu per kapita
"<150,000",Ikan matang,0
"<150,000",DAGING,2872
"<150,000",Daging sapi,0
"<150,000","Daging kambing, domba/biri-biri",0
"<150,000",Daging babi,2387
"<150,000",Daging ayam ras,0
"<150,000",Daging ayam kampung,485
"<150,000",Daging segar lainnya,0
"<150,000",Daging diawetkan lainnya,0
"<150,000","Tetelan, sandung lamur",0
"<150,000","Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",0
"<150,000","Ayam/daging matang (ayam goreng, rendang, dsb)",0
"<150,000","Daging olahan (sosis, nugget, daging asap, dsb) matang",0
"<150,000",TELUR DAN SUSU,387
"<150,000",Telur ayam ras,387
"<150,000",Telur ayam kampung,0
"<150,000",Telur itik/telur itik manila,0
"<150,000","Telur lainnya (telur puyuh, telur asin mentah maupun matang,",0
"<150,000",Susu cair pabrik,0
"<150,000",Susu kental manis,0
"<150,000",Susu bubuk,0
"<150,000",Susu bubuk bayi,0
"<150,000",Susu lainnya dan hasil lain dari susu,0
"<150,000",SAYUR-SAYURAN,2277
"<150,000",Bayam,68
"<150,000",Kangkung,157
"<150,000",Kol/Kubis,0
"<150,000",Sawi putih (petsai),0
"<150,000",Sawi hijau,0
"<150,000",Buncis,198
"<150,000",Kacang panjang,0
"<150,000","Tomat sayur, tomat ceri",0
"<150,000",Wortel,0
"<150,000",Mentimun,0
"<150,000",Daun ketela pohon/daun singkong,119
"<150,000",Terong,58
"<150,000",Tauge,0
"<150,000","Labu, labu siam, labu parang",205
"<150,000",Bahan sayur sop/cap cay/ kimlo (paket),0
"<150,000",Bahan sayur asam/lodeh (paket),0
"<150,000",Nangka muda,130
"<150,000",Pepaya muda,174
"<150,000",Jengkol,0
"<150,000",Bawang merah,308
"<150,000",Bawang putih,193
"<150,000",Cabe merah,139
"<150,000",Cabe hijau,0
"<150,000",Cabe rawit,30
"<150,000",Sayur-sayuran lainnya,499
"<150,000",KACANG-KACANGAN,0
"<150,000",Kacang tanah tanpa kulit,0
"<150,000",Kacang kedele,0
"<150,000",Kacang lainnya,0
"<150,000",Tahu,0
"<150,000",Tempe,0
"<150,000",Oncom,0
"<150,000",Hasil lain dari kacang-kacangan,0
"<150,000",BUAH-BUAHAN,480
"<150,000","Jeruk, jeruk bali",0
"<150,000",Mangga,0
"<150,000",Apel,0
"<150,000",Rambutan,48
"<150,000","Duku, langsat",48
"<150,000",Durian,0
"<150,000",Salak,0
"<150,000",Pisang ambon,0
"<150,000",Pisang lainnya,146
"<150,000",Pepaya,0
"<150,000",Semangka,0
"<150,000",Tomat buah,0
"<150,000",Buah-buahan lainnya,239
"<150,000",MINYAK DAN KELAPA,1072
"<150,000",Minyak kelapa,1
"<150,000","Minyak goreng (kelapa sawit, bunga matahari)",805
"<150,000",Kelapa (tidak termasuk santan instan),30
"<150,000",Minyak dan kelapa lainnya,235
"<150,000",BAHAN MINUMAN,1289
"<150,000",Gula pasir,1007
"<150,000","Gula merah, gula air (pohom aren, kelapa, lontar)",0
"<150,000",Teh bubuk,101
"<150,000",Teh celup (sachet),89
"<150,000","Kopi (bubuk,biji)",91
"<150,000",Kopi instan (sachet),0
"<150,000",Bahan minuman lainnya,0
"<150,000",BUMBU-BUMBUAN,388
"<150,000",Garam,72
"<150,000",Kemiri,0
"<150,000",Ketumbar/jinten,0
"<150,000",Merica/lada,22
"<150,000",Asam,112
"<150,000",Terasi/petis,11
"<150,000",Kecap,0
"<150,000",Penyedap masakan/vetsin,75
"<150,000",Sambal jadi,0
"<150,000",Saus tomat,0
"<150,000","Bumbu maskan jadi/kemasan, bumbu racikan",35
"<150,000","Bumbu dapur lainnya (pala, jahe, kunyit, dsb)",62
"<150,000",BAHAN MAKANAN LAINNYA,595
"<150,000",Mie instan,519
"<150,000",Kerupuk,0
"<150,000",Bubur bayi kemasan,0
"<150,000",Lainnya,76
"<150,000",MAKANAN MINUMAN JADI,1272
"<150,000",Roti tawar,0
"<150,000","Roti manis, roti lainnya",237
"<150,000","Kue kering, biskuit, semprong",138
"<150,000","Kue basah (kue lapis, bika ambon, lemper, dsb)",38
"<150,000",Makanan gorengan,198
"<150,000",Bubur kacang hijau,0
"<150,000","Gado-gado, ketoprak, pecel",0
"<150,000",Nasi campur/rames,43
"<150,000",Nasi goreng,0
"<150,000",Nasi putih,0
"<150,000",Lontong/ketupat sayur,0
"<150,000","Soto, gule, sop, rawon, cincang",0
"<150,000","Sayur matang (ditumis, disantan, dsb)",0
"<150,000","Sate, tongseng",0
"<150,000","Mie bakso, mie rebus, mie goreng",46
"<150,000",Mie instan,0
"<150,000","Makanan ringan anak-anak, krupuk/kripik",196
"<150,000",Bubur ayam,0
"<150,000","Siomay, batagor",0
"<150,000",Makanan jadi lainnya,0
"<150,000",Air kemasan,0
"<150,000",Air kemasan galon,0
"<150,000","Air teh kemasan, minuman bersoda/mengandung CO2",259
"<150,000","Sari buah kemasan, minuman kesehatan, minuman berenergi",0
"<150,000","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",117
"<150,000",Es krim,0
"<150,000",Es lainnya,0
"<150,000",Minuman keras,0
"<150,000",ROKOK DAN TEMBAKAU,365
"<150,000",Rokok kretek filter,1
"<150,000",Rokok kretek tanpa filter,0
"<150,000",Rokok putih,0
"<150,000",Tembakau,200
"<150,000",Rokok dan tembakau lainnya,163
"150,000 - 199,999",PADI-PADIAN,11397
"150,000 - 199,999","Beras (beras lokal, kualitas unggul, impor)",10396
"150,000 - 199,999",Beras ketan,0
"150,000 - 199,999",Jagung basah degan kulit,191
"150,000 - 199,999",Jagung pipilan/beras jagung/jagung titi,730
"150,000 - 199,999",Tepung terigu,57
"150,000 - 199,999",Padi-padian lainnya,23
"150,000 - 199,999",UMBI-UMBIAN,1496
"150,000 - 199,999",Ketala pohon/singkong,489
"150,000 - 199,999",Ketela rambat/ubi jalar,353
"150,000 - 199,999",Sagu (bukan dari ketela pohon),282
"150,000 - 199,999",Talas/keladi,301
"150,000 - 199,999",Kentang,1
"150,000 - 199,999",Gaplek,49
"150,000 - 199,999",Umbi-umbian lainnya,21
"150,000 - 199,999",IKAN,2751
"150,000 - 199,999",Ekor kuning,34
"150,000 - 199,999","Tongkol, tuna, cakalang, dencis, ikan kayu",394
"150,000 - 199,999",Tenggiri,12
"150,000 - 199,999",Selar,35
"150,000 - 199,999","Kembung, lema/tatare, banyar/banyara",146
"150,000 - 199,999",Teri,117
"150,000 - 199,999",Bandeng,239
"150,000 - 199,999",Gabus,102
"150,000 - 199,999",Mujair,70
"150,000 - 199,999","Mas, Nila",34
"150,000 - 199,999",Lele,2
"150,000 - 199,999",Kakap,32
"150,000 - 199,999",Baronang,7
"150,000 - 199,999",Patin,18
"150,000 - 199,999",Bawal,0
"150,000 - 199,999",Gurame,0
"150,000 - 199,999",Ikan segar/basah lainnya,476
"150,000 - 199,999","Udang, lobster",15
"150,000 - 199,999","Cumi-cumi, sotong, gurita",50
"150,000 - 199,999","Ketam, kepiting, rajungan",20
"150,000 - 199,999","Kerang, siput, bekicot, remis",22
"150,000 - 199,999",Udang dan hewan air lainnya yang segar lainnya,0
"150,000 - 199,999",Kembung diawetkan/peda,169
"150,000 - 199,999",Tenggiri diawetkan,0
"150,000 - 199,999",Tongkol/tuna/cakalang diawetkan,171
"150,000 - 199,999",Teri diawetkan,274
"150,000 - 199,999",Selar diawetkan,43
"150,000 - 199,999",Sepat diawetkan,0
"150,000 - 199,999",Bandeng diawetkan,10
"150,000 - 199,999",Gabus diawetkan,0
"150,000 - 199,999","Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)",8
"150,000 - 199,999",Ikan diawetkan lainnya,163
"150,000 - 199,999","Udang diawetkan (ebi, rebon)",5
"150,000 - 199,999","Cumi-cumi, sotong, gurita diawetkan",0
"150,000 - 199,999",Udang dan hewan air lainnya yang diawetkan,18
"150,000 - 199,999",Ikan matang,65
"150,000 - 199,999",DAGING,830
"150,000 - 199,999",Daging sapi,38
"150,000 - 199,999","Daging kambing, domba/biri-biri",15
"150,000 - 199,999",Daging babi,126
"150,000 - 199,999",Daging ayam ras,84
"150,000 - 199,999",Daging ayam kampung,301
"150,000 - 199,999",Daging segar lainnya,24
"150,000 - 199,999",Daging diawetkan lainnya,0
"150,000 - 199,999","Tetelan, sandung lamur",0
"150,000 - 199,999","Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",0
"150,000 - 199,999","Ayam/daging matang (ayam goreng, rendang, dsb)",0
"150,000 - 199,999","Daging olahan (sosis, nugget, daging asap, dsb) matang",242
"150,000 - 199,999",TELUR DAN SUSU,791
"150,000 - 199,999",Telur ayam ras,543
"150,000 - 199,999",Telur ayam kampung,93
"150,000 - 199,999",Telur itik/telur itik manila,39
"150,000 - 199,999","Telur lainnya (telur puyuh, telur asin mentah maupun matang,",0
"150,000 - 199,999",Susu cair pabrik,0
"150,000 - 199,999",Susu kental manis,99
"150,000 - 199,999",Susu bubuk,4
"150,000 - 199,999",Susu bubuk bayi,8
"150,000 - 199,999",Susu lainnya dan hasil lain dari susu,5
"150,000 - 199,999",SAYUR-SAYURAN,2847
"150,000 - 199,999",Bayam,190
"150,000 - 199,999",Kangkung,158
"150,000 - 199,999",Kol/Kubis,66
"150,000 - 199,999",Sawi putih (petsai),1
"150,000 - 199,999",Sawi hijau,9
"150,000 - 199,999",Buncis,11
"150,000 - 199,999",Kacang panjang,124
"150,000 - 199,999","Tomat sayur, tomat ceri",90
"150,000 - 199,999",Wortel,8
"150,000 - 199,999",Mentimun,29
"150,000 - 199,999",Daun ketela pohon/daun singkong,232
"150,000 - 199,999",Terong,117
"150,000 - 199,999",Tauge,18
"150,000 - 199,999","Labu, labu siam, labu parang",79
"150,000 - 199,999",Bahan sayur sop/cap cay/ kimlo (paket),16
"150,000 - 199,999",Bahan sayur asam/lodeh (paket),0
"150,000 - 199,999",Nangka muda,30
"150,000 - 199,999",Pepaya muda,89
"150,000 - 199,999",Jengkol,0
"150,000 - 199,999",Bawang merah,360
"150,000 - 199,999",Bawang putih,269
"150,000 - 199,999",Cabe merah,73
"150,000 - 199,999",Cabe hijau,20
"150,000 - 199,999",Cabe rawit,385
"150,000 - 199,999",Sayur-sayuran lainnya,473
"150,000 - 199,999",KACANG-KACANGAN,383
"150,000 - 199,999",Kacang tanah tanpa kulit,28
"150,000 - 199,999",Kacang kedele,0
"150,000 - 199,999",Kacang lainnya,26
"150,000 - 199,999",Tahu,161
"150,000 - 199,999",Tempe,168
"150,000 - 199,999",Oncom,0
"150,000 - 199,999",Hasil lain dari kacang-kacangan,0
"150,000 - 199,999",BUAH-BUAHAN,785
"150,000 - 199,999","Jeruk, jeruk bali",1
"150,000 - 199,999",Mangga,9
"150,000 - 199,999",Apel,0
"150,000 - 199,999",Rambutan,122
"150,000 - 199,999","Duku, langsat",207
"150,000 - 199,999",Durian,25
"150,000 - 199,999",Salak,0
"150,000 - 199,999",Pisang ambon,95
"150,000 - 199,999",Pisang lainnya,241
"150,000 - 199,999",Pepaya,11
"150,000 - 199,999",Semangka,2
"150,000 - 199,999",Tomat buah,38
"150,000 - 199,999",Buah-buahan lainnya,33
"150,000 - 199,999",MINYAK DAN KELAPA,1089
"150,000 - 199,999",Minyak kelapa,107
"150,000 - 199,999","Minyak goreng (kelapa sawit, bunga matahari)",875
"150,000 - 199,999",Kelapa (tidak termasuk santan instan),63
"150,000 - 199,999",Minyak dan kelapa lainnya,43
"150,000 - 199,999",BAHAN MINUMAN,1559
"150,000 - 199,999",Gula pasir,872
"150,000 - 199,999","Gula merah, gula air (pohom aren, kelapa, lontar)",12
"150,000 - 199,999",Teh bubuk,70
"150,000 - 199,999",Teh celup (sachet),62
"150,000 - 199,999","Kopi (bubuk,biji)",498
"150,000 - 199,999",Kopi instan (sachet),45
"150,000 - 199,999",Bahan minuman lainnya,0
"150,000 - 199,999",BUMBU-BUMBUAN,545
"150,000 - 199,999",Garam,154
"150,000 - 199,999",Kemiri,28
"150,000 - 199,999",Ketumbar/jinten,13
"150,000 - 199,999",Merica/lada,16
"150,000 - 199,999",Asam,49
"150,000 - 199,999",Terasi/petis,11
"150,000 - 199,999",Kecap,38
"150,000 - 199,999",Penyedap masakan/vetsin,132
"150,000 - 199,999",Sambal jadi,0
"150,000 - 199,999",Saus tomat,0
"150,000 - 199,999","Bumbu maskan jadi/kemasan, bumbu racikan",20
"150,000 - 199,999","Bumbu dapur lainnya (pala, jahe, kunyit, dsb)",86
"150,000 - 199,999",BAHAN MAKANAN LAINNYA,379
"150,000 - 199,999",Mie instan,362
"150,000 - 199,999",Kerupuk,11
"150,000 - 199,999",Bubur bayi kemasan,0
"150,000 - 199,999",Lainnya,5
"150,000 - 199,999",MAKANAN MINUMAN JADI,4400
"150,000 - 199,999",Roti tawar,24
"150,000 - 199,999","Roti manis, roti lainnya",438
"150,000 - 199,999","Kue kering, biskuit, semprong",353
"150,000 - 199,999","Kue basah (kue lapis, bika ambon, lemper, dsb)",348
"150,000 - 199,999",Makanan gorengan,430
"150,000 - 199,999",Bubur kacang hijau,56
"150,000 - 199,999","Gado-gado, ketoprak, pecel",4
"150,000 - 199,999",Nasi campur/rames,764
"150,000 - 199,999",Nasi goreng,0
"150,000 - 199,999",Nasi putih,13
"150,000 - 199,999",Lontong/ketupat sayur,143
"150,000 - 199,999","Soto, gule, sop, rawon, cincang",6
"150,000 - 199,999","Sayur matang (ditumis, disantan, dsb)",34
"150,000 - 199,999","Sate, tongseng",0
"150,000 - 199,999","Mie bakso, mie rebus, mie goreng",185
"150,000 - 199,999",Mie instan,108
"150,000 - 199,999","Makanan ringan anak-anak, krupuk/kripik",611
"150,000 - 199,999",Bubur ayam,0
"150,000 - 199,999","Siomay, batagor",86
"150,000 - 199,999",Makanan jadi lainnya,78
"150,000 - 199,999",Air kemasan,35
"150,000 - 199,999",Air kemasan galon,68
"150,000 - 199,999","Air teh kemasan, minuman bersoda/mengandung CO2",118
"150,000 - 199,999","Sari buah kemasan, minuman kesehatan, minuman berenergi",36
"150,000 - 199,999","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",356
"150,000 - 199,999",Es krim,10
"150,000 - 199,999",Es lainnya,83
"150,000 - 199,999",Minuman keras,13
"150,000 - 199,999",ROKOK DAN TEMBAKAU,1309
"150,000 - 199,999",Rokok kretek filter,754
"150,000 - 199,999",Rokok kretek tanpa filter,195
"150,000 - 199,999",Rokok putih,7
"150,000 - 199,999",Tembakau,191
"150,000 - 199,999",Rokok dan tembakau lainnya,163
"200,000 - 299,999",PADI-PADIAN,13194
"200,000 - 299,999","Beras (beras lokal, kualitas unggul, impor)",12345
"200,000 - 299,999",Beras ketan,28
"200,000 - 299,999",Jagung basah degan kulit,227
"200,000 - 299,999",Jagung pipilan/beras jagung/jagung titi,442
"200,000 - 299,999",Tepung terigu,147
"200,000 - 299,999",Padi-padian lainnya,5
"200,000 - 299,999",UMBI-UMBIAN,651
"200,000 - 299,999",Ketala pohon/singkong,270
"200,000 - 299,999",Ketela rambat/ubi jalar,83
"200,000 - 299,999",Sagu (bukan dari ketela pohon),165
"200,000 - 299,999",Talas/keladi,57
"200,000 - 299,999",Kentang,39
"200,000 - 299,999",Gaplek,26
"200,000 - 299,999",Umbi-umbian lainnya,11
"200,000 - 299,999",IKAN,3295
"200,000 - 299,999",Ekor kuning,62
"200,000 - 299,999","Tongkol, tuna, cakalang, dencis, ikan kayu",586
"200,000 - 299,999",Tenggiri,20
"200,000 - 299,999",Selar,137
"200,000 - 299,999","Kembung, lema/tatare, banyar/banyara",146
"200,000 - 299,999",Teri,126
"200,000 - 299,999",Bandeng,265
"200,000 - 299,999",Gabus,69
"200,000 - 299,999",Mujair,118
"200,000 - 299,999","Mas, Nila",91
"200,000 - 299,999",Lele,107
"200,000 - 299,999",Kakap,47
"200,000 - 299,999",Baronang,46
"200,000 - 299,999",Patin,21
"200,000 - 299,999",Bawal,4
"200,000 - 299,999",Gurame,6
"200,000 - 299,999",Ikan segar/basah lainnya,486
"200,000 - 299,999","Udang, lobster",42
"200,000 - 299,999","Cumi-cumi, sotong, gurita",37
"200,000 - 299,999","Ketam, kepiting, rajungan",16
"200,000 - 299,999","Kerang, siput, bekicot, remis",6
"200,000 - 299,999",Udang dan hewan air lainnya yang segar lainnya,6
"200,000 - 299,999",Kembung diawetkan/peda,56
"200,000 - 299,999",Tenggiri diawetkan,9
"200,000 - 299,999",Tongkol/tuna/cakalang diawetkan,128
"200,000 - 299,999",Teri diawetkan,212
"200,000 - 299,999",Selar diawetkan,43
"200,000 - 299,999",Sepat diawetkan,23
"200,000 - 299,999",Bandeng diawetkan,41
"200,000 - 299,999",Gabus diawetkan,3
"200,000 - 299,999","Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)",16
"200,000 - 299,999",Ikan diawetkan lainnya,198
"200,000 - 299,999","Udang diawetkan (ebi, rebon)",7
"200,000 - 299,999","Cumi-cumi, sotong, gurita diawetkan",0
"200,000 - 299,999",Udang dan hewan air lainnya yang diawetkan,11
"200,000 - 299,999",Ikan matang,104
"200,000 - 299,999",DAGING,1071
"200,000 - 299,999",Daging sapi,36
"200,000 - 299,999","Daging kambing, domba/biri-biri",3
"200,000 - 299,999",Daging babi,188
"200,000 - 299,999",Daging ayam ras,367
"200,000 - 299,999",Daging ayam kampung,120
"200,000 - 299,999",Daging segar lainnya,48
"200,000 - 299,999",Daging diawetkan lainnya,2
"200,000 - 299,999","Tetelan, sandung lamur",1
"200,000 - 299,999","Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",20
"200,000 - 299,999","Ayam/daging matang (ayam goreng, rendang, dsb)",85
"200,000 - 299,999","Daging olahan (sosis, nugget, daging asap, dsb) matang",201
"200,000 - 299,999",TELUR DAN SUSU,1720
"200,000 - 299,999",Telur ayam ras,1199
"200,000 - 299,999",Telur ayam kampung,69
"200,000 - 299,999",Telur itik/telur itik manila,13
"200,000 - 299,999","Telur lainnya (telur puyuh, telur asin mentah maupun matang,",5
"200,000 - 299,999",Susu cair pabrik,16
"200,000 - 299,999",Susu kental manis,155
"200,000 - 299,999",Susu bubuk,79
"200,000 - 299,999",Susu bubuk bayi,180
"200,000 - 299,999",Susu lainnya dan hasil lain dari susu,2
"200,000 - 299,999",SAYUR-SAYURAN,4191
"200,000 - 299,999",Bayam,201
"200,000 - 299,999",Kangkung,196
"200,000 - 299,999",Kol/Kubis,57
"200,000 - 299,999",Sawi putih (petsai),30
"200,000 - 299,999",Sawi hijau,53
"200,000 - 299,999",Buncis,41
"200,000 - 299,999",Kacang panjang,165
"200,000 - 299,999","Tomat sayur, tomat ceri",139
"200,000 - 299,999",Wortel,31
"200,000 - 299,999",Mentimun,59
"200,000 - 299,999",Daun ketela pohon/daun singkong,350
"200,000 - 299,999",Terong,175
"200,000 - 299,999",Tauge,30
"200,000 - 299,999","Labu, labu siam, labu parang",137
"200,000 - 299,999",Bahan sayur sop/cap cay/ kimlo (paket),86
"200,000 - 299,999",Bahan sayur asam/lodeh (paket),26
"200,000 - 299,999",Nangka muda,19
"200,000 - 299,999",Pepaya muda,116
"200,000 - 299,999",Jengkol,19
"200,000 - 299,999",Bawang merah,612
"200,000 - 299,999",Bawang putih,495
"200,000 - 299,999",Cabe merah,147
"200,000 - 299,999",Cabe hijau,32
"200,000 - 299,999",Cabe rawit,534
"200,000 - 299,999",Sayur-sayuran lainnya,441
"200,000 - 299,999",KACANG-KACANGAN,993
"200,000 - 299,999",Kacang tanah tanpa kulit,57
"200,000 - 299,999",Kacang kedele,6
"200,000 - 299,999",Kacang lainnya,56
"200,000 - 299,999",Tahu,415
"200,000 - 299,999",Tempe,449
"200,000 - 299,999",Oncom,6
"200,000 - 299,999",Hasil lain dari kacang-kacangan,5
"200,000 - 299,999",BUAH-BUAHAN,1142
"200,000 - 299,999","Jeruk, jeruk bali",56
"200,000 - 299,999",Mangga,20
"200,000 - 299,999",Apel,20
"200,000 - 299,999",Rambutan,203
"200,000 - 299,999","Duku, langsat",181
"200,000 - 299,999",Durian,91
"200,000 - 299,999",Salak,25
"200,000 - 299,999",Pisang ambon,50
"200,000 - 299,999",Pisang lainnya,259
"200,000 - 299,999",Pepaya,65
"200,000 - 299,999",Semangka,35
"200,000 - 299,999",Tomat buah,29
"200,000 - 299,999",Buah-buahan lainnya,107
"200,000 - 299,999",MINYAK DAN KELAPA,1613
"200,000 - 299,999",Minyak kelapa,155
"200,000 - 299,999","Minyak goreng (kelapa sawit, bunga matahari)",1277
"200,000 - 299,999",Kelapa (tidak termasuk santan instan),176
"200,000 - 299,999",Minyak dan kelapa lainnya,4
"200,000 - 299,999",BAHAN MINUMAN,2041
"200,000 - 299,999",Gula pasir,1135
"200,000 - 299,999","Gula merah, gula air (pohom aren, kelapa, lontar)",97
"200,000 - 299,999",Teh bubuk,105
"200,000 - 299,999",Teh celup (sachet),105
"200,000 - 299,999","Kopi (bubuk,biji)",434
"200,000 - 299,999",Kopi instan (sachet),157
"200,000 - 299,999",Bahan minuman lainnya,7
"200,000 - 299,999",BUMBU-BUMBUAN,906
"200,000 - 299,999",Garam,170
"200,000 - 299,999",Kemiri,58
"200,000 - 299,999",Ketumbar/jinten,37
"200,000 - 299,999",Merica/lada,60
"200,000 - 299,999",Asam,65
"200,000 - 299,999",Terasi/petis,55
"200,000 - 299,999",Kecap,102
"200,000 - 299,999",Penyedap masakan/vetsin,181
"200,000 - 299,999",Sambal jadi,4
"200,000 - 299,999",Saus tomat,3
"200,000 - 299,999","Bumbu maskan jadi/kemasan, bumbu racikan",49
"200,000 - 299,999","Bumbu dapur lainnya (pala, jahe, kunyit, dsb)",123
"200,000 - 299,999",BAHAN MAKANAN LAINNYA,690
"200,000 - 299,999",Mie instan,593
"200,000 - 299,999",Kerupuk,68
"200,000 - 299,999",Bubur bayi kemasan,22
"200,000 - 299,999",Lainnya,7
"200,000 - 299,999",MAKANAN MINUMAN JADI,7372
"200,000 - 299,999",Roti tawar,37
"200,000 - 299,999","Roti manis, roti lainnya",538
"200,000 - 299,999","Kue kering, biskuit, semprong",350
"200,000 - 299,999","Kue basah (kue lapis, bika ambon, lemper, dsb)",451
"200,000 - 299,999",Makanan gorengan,867
"200,000 - 299,999",Bubur kacang hijau,60
"200,000 - 299,999","Gado-gado, ketoprak, pecel",146
"200,000 - 299,999",Nasi campur/rames,874
"200,000 - 299,999",Nasi goreng,91
"200,000 - 299,999",Nasi putih,173
"200,000 - 299,999",Lontong/ketupat sayur,68
"200,000 - 299,999","Soto, gule, sop, rawon, cincang",142
"200,000 - 299,999","Sayur matang (ditumis, disantan, dsb)",221
"200,000 - 299,999","Sate, tongseng",18
"200,000 - 299,999","Mie bakso, mie rebus, mie goreng",528
"200,000 - 299,999",Mie instan,82
"200,000 - 299,999","Makanan ringan anak-anak, krupuk/kripik",771
"200,000 - 299,999",Bubur ayam,40
"200,000 - 299,999","Siomay, batagor",196
"200,000 - 299,999",Makanan jadi lainnya,257
"200,000 - 299,999",Air kemasan,89
"200,000 - 299,999",Air kemasan galon,95
"200,000 - 299,999","Air teh kemasan, minuman bersoda/mengandung CO2",138
"200,000 - 299,999","Sari buah kemasan, minuman kesehatan, minuman berenergi",114
"200,000 - 299,999","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",698
"200,000 - 299,999",Es krim,87
"200,000 - 299,999",Es lainnya,200
"200,000 - 299,999",Minuman keras,41
"200,000 - 299,999",ROKOK DAN TEMBAKAU,3351
"200,000 - 299,999",Rokok kretek filter,2139
"200,000 - 299,999",Rokok kretek tanpa filter,565
"200,000 - 299,999",Rokok putih,93
"200,000 - 299,999",Tembakau,318
"200,000 - 299,999",Rokok dan tembakau lainnya,237
"300,000 - 499,999",PADI-PADIAN,14809
"300,000 - 499,999","Beras (beras lokal, kualitas unggul, impor)",14053
"300,000 - 499,999",Beras ketan,46
"300,000 - 499,999",Jagung basah degan kulit,189
"300,000 - 499,999",Jagung pipilan/beras jagung/jagung titi,244
"300,000 - 499,999",Tepung terigu,267
"300,000 - 499,999",Padi-padian lainnya,10
"300,000 - 499,999",UMBI-UMBIAN,945
"300,000 - 499,999",Ketala pohon/singkong,334
"300,000 - 499,999",Ketela rambat/ubi jalar,291
"300,000 - 499,999",Sagu (bukan dari ketela pohon),94
"300,000 - 499,999",Talas/keladi,75
"300,000 - 499,999",Kentang,123
"300,000 - 499,999",Gaplek,15
"300,000 - 499,999",Umbi-umbian lainnya,12
"300,000 - 499,999",IKAN,4655
"300,000 - 499,999",Ekor kuning,91
"300,000 - 499,999","Tongkol, tuna, cakalang, dencis, ikan kayu",710
"300,000 - 499,999",Tenggiri,21
"300,000 - 499,999",Selar,136
"300,000 - 499,999","Kembung, lema/tatare, banyar/banyara",266
"300,000 - 499,999",Teri,126
"300,000 - 499,999",Bandeng,308
"300,000 - 499,999",Gabus,103
"300,000 - 499,999",Mujair,240
"300,000 - 499,999","Mas, Nila",211
"300,000 - 499,999",Lele,244
"300,000 - 499,999",Kakap,59
"300,000 - 499,999",Baronang,37
"300,000 - 499,999",Patin,87
"300,000 - 499,999",Bawal,35
"300,000 - 499,999",Gurame,13
"300,000 - 499,999",Ikan segar/basah lainnya,586
"300,000 - 499,999","Udang, lobster",78
"300,000 - 499,999","Cumi-cumi, sotong, gurita",44
"300,000 - 499,999","Ketam, kepiting, rajungan",16
"300,000 - 499,999","Kerang, siput, bekicot, remis",16
"300,000 - 499,999",Udang dan hewan air lainnya yang segar lainnya,16
"300,000 - 499,999",Kembung diawetkan/peda,84
"300,000 - 499,999",Tenggiri diawetkan,14
